prov,depto,fecha_min,confirmados,confirmados_14,casos_posibles,casos_posibles_14,fallecidos,fallecidos_14
6,532,2021-01-01,3,3,7,7,0,0
6,539,2021-01-01,102,102,235,235,0,0
6,547,2021-01-01,2,2,10,10,0,0
6,553,2021-01-01,0,0,4,4,0,0
6,560,2021-01-01,61,61,193,193,0,0
6,568,2021-01-01,96,96,215,215,0,0
6,574,2021-01-01,0,0,0,0,0,0
6,581,2021-01-01,3,3,6,6,0,0
6,588,2021-01-01,19,19,33,33,0,0
6,595,2021-01-01,1,1,7,7,0,0
6,602,2021-01-01,16,16,21,21,0,0
6,609,2021-01-01,6,6,25,25,0,0
6,616,2021-01-01,0,0,1,1,0,0
6,623,2021-01-01,41,41,81,81,0,0
6,630,2021-01-01,0,0,0,0,0,0
6,638,2021-01-01,96,96,429,429,1,1
6,644,2021-01-01,7,7,17,17,0,0
6,648,2021-01-01,21,21,34,34,0,0
6,651,2021-01-01,2,2,11,11,0,0
6,655,2021-01-01,0,0,2,2,0,0
6,658,2021-01-01,117,117,267,267,0,0
6,665,2021-01-01,16,16,24,24,0,0
6,672,2021-01-01,3,3,9,9,0,0
6,679,2021-01-01,3,3,9,9,0,0
6,686,2021-01-01,14,14,21,21,0,0
6,693,2021-01-01,0,0,6,6,0,0
6,700,2021-01-01,4,4,4,4,0,0
6,707,2021-01-01,2,2,11,11,0,0
6,714,2021-01-01,9,9,19,19,0,0
6,721,2021-01-01,17,17,25,25,0,0
6,728,2021-01-01,5,5,21,21,0,0
6,735,2021-01-01,4,4,7,7,0,0
6,742,2021-01-01,1,1,4,4,0,0
6,749,2021-01-01,30,30,69,69,0,0
6,756,2021-01-01,92,92,291,291,0,0
6,760,2021-01-01,64,64,226,226,0,0
6,763,2021-01-01,43,43,73,73,0,0
6,770,2021-01-01,15,15,25,25,0,0
6,778,2021-01-01,13,13,44,44,0,0
6,784,2021-01-01,7,7,10,10,0,0
6,791,2021-01-01,62,62,129,129,0,0
6,798,2021-01-01,0,0,3,3,0,0
6,805,2021-01-01,42,42,114,114,0,0
6,812,2021-01-01,0,0,0,0,0,0
6,819,2021-01-01,3,3,9,9,0,0
6,826,2021-01-01,10,10,26,26,0,0
6,833,2021-01-01,22,22,33,33,1,1
6,840,2021-01-01,77,77,210,210,0,0
6,847,2021-01-01,0,0,0,0,0,0
6,854,2021-01-01,16,16,42,42,0,0
6,861,2021-01-01,58,58,209,209,1,1
6,868,2021-01-01,6,6,25,25,0,0
6,875,2021-01-01,1,1,3,3,0,0
6,882,2021-01-01,22,22,67,67,0,0
10,0,2021-01-01,0,0,0,0,0,0
10,7,2021-01-01,0,0,0,0,0,0
10,14,2021-01-01,0,0,2,2,0,0
10,21,2021-01-01,0,0,10,10,0,0
10,28,2021-01-01,0,0,0,0,0,0
10,35,2021-01-01,0,0,0,0,0,0
10,42,2021-01-01,1,1,3,3,0,0
10,49,2021-01-01,19,19,145,145,0,0
10,56,2021-01-01,0,0,5,5,0,0
10,63,2021-01-01,1,1,15,15,0,0
10,70,2021-01-01,0,0,0,0,0,0
10,77,2021-01-01,0,0,1,1,0,0
10,84,2021-01-01,0,0,4,4,0,0
10,91,2021-01-01,7,7,9,9,0,0
10,98,2021-01-01,0,0,0,0,0,0
10,105,2021-01-01,0,0,1,1,0,0
10,112,2021-01-01,4,4,17,17,0,0
14,0,2021-01-01,2,2,13,13,0,0
14,7,2021-01-01,2,2,8,8,0,0
14,14,2021-01-01,228,228,1471,1471,0,0
14,21,2021-01-01,20,20,208,208,0,0
14,28,2021-01-01,0,0,2,2,0,0
14,35,2021-01-01,7,7,11,11,0,0
14,42,2021-01-01,26,26,144,144,0,0
14,49,2021-01-01,2,2,10,10,0,0
14,56,2021-01-01,1,1,12,12,0,0
14,63,2021-01-01,26,26,72,72,0,0
14,70,2021-01-01,0,0,0,0,0,0
14,77,2021-01-01,0,0,0,0,0,0
14,84,2021-01-01,4,4,6,6,0,0
14,91,2021-01-01,19,19,80,80,0,0
14,98,2021-01-01,20,20,89,89,0,0
14,105,2021-01-01,4,4,12,12,0,0
14,112,2021-01-01,1,1,2,2,0,0
14,119,2021-01-01,7,7,30,30,0,0
14,126,2021-01-01,0,0,9,9,0,0
14,133,2021-01-01,2,2,14,14,0,0
14,140,2021-01-01,80,80,178,178,0,0
14,147,2021-01-01,8,8,45,45,0,0
14,154,2021-01-01,0,0,2,2,0,0
14,161,2021-01-01,23,23,84,84,0,0
14,168,2021-01-01,1,1,13,13,0,0
14,175,2021-01-01,1,1,1,1,0,0
14,182,2021-01-01,15,15,83,83,0,0
18,0,2021-01-01,0,0,0,0,0,0
18,7,2021-01-01,0,0,0,0,0,0
18,14,2021-01-01,0,0,0,0,0,0
18,21,2021-01-01,50,50,62,62,1,1
18,28,2021-01-01,0,0,2,2,0,0
18,35,2021-01-01,0,0,1,1,0,0
18,42,2021-01-01,1,1,1,1,0,0
18,49,2021-01-01,0,0,1,1,0,0
18,56,2021-01-01,0,0,0,0,0,0
18,63,2021-01-01,0,0,0,0,0,0
18,70,2021-01-01,2,2,12,12,0,0
18,77,2021-01-01,0,0,0,0,0,0
18,84,2021-01-01,1,1,1,1,0,0
18,91,2021-01-01,1,1,1,1,0,0
18,98,2021-01-01,0,0,0,0,0,0
18,105,2021-01-01,8,8,11,11,0,0
18,112,2021-01-01,0,0,1,1,0,0
18,119,2021-01-01,0,0,2,2,0,0
18,126,2021-01-01,3,3,4,4,0,0
18,133,2021-01-01,2,2,3,3,0,0
18,140,2021-01-01,1,1,1,1,0,0
18,147,2021-01-01,1,1,1,1,0,0
18,154,2021-01-01,0,0,0,0,0,0
18,161,2021-01-01,0,0,1,1,0,0
18,168,2021-01-01,0,0,3,3,0,0
18,175,2021-01-01,0,0,0,0,0,0
22,0,2021-01-01,0,0,1,1,0,0
22,7,2021-01-01,4,4,5,5,0,0
22,14,2021-01-01,5,5,13,13,0,0
22,21,2021-01-01,32,32,58,58,0,0
22,28,2021-01-01,0,0,0,0,0,0
22,36,2021-01-01,12,12,12,12,0,0
22,39,2021-01-01,0,0,1,1,0,0
22,43,2021-01-01,0,0,1,1,0,0
22,49,2021-01-01,0,0,0,0,0,0
22,56,2021-01-01,2,2,2,2,0,0
22,63,2021-01-01,3,3,9,9,0,0
22,70,2021-01-01,3,3,4,4,0,0
22,77,2021-01-01,2,2,3,3,0,0
22,84,2021-01-01,1,1,4,4,0,0
22,91,2021-01-01,0,0,1,1,0,0
22,98,2021-01-01,5,5,30,30,0,0
22,105,2021-01-01,4,4,8,8,0,0
22,112,2021-01-01,0,0,1,1,0,0
22,119,2021-01-01,0,0,1,1,0,0
22,126,2021-01-01,0,0,1,1,0,0
22,133,2021-01-01,2,2,12,12,0,0
22,140,2021-01-01,79,79,199,199,0,0
22,147,2021-01-01,0,0,0,0,0,0
22,154,2021-01-01,4,4,15,15,0,0
22,161,2021-01-01,1,1,1,1,0,0
22,168,2021-01-01,1,1,1,1,0,0
26,0,2021-01-01,0,0,0,0,0,0
26,7,2021-01-01,55,55,96,96,0,0
26,14,2021-01-01,15,15,23,23,0,0
26,21,2021-01-01,134,134,267,267,0,0
26,28,2021-01-01,2,2,2,2,0,0
26,35,2021-01-01,40,40,82,82,0,0
26,42,2021-01-01,7,7,12,12,0,0
26,49,2021-01-01,0,0,0,0,0,0
26,56,2021-01-01,1,1,2,2,0,0
26,63,2021-01-01,2,2,4,4,0,0
26,70,2021-01-01,0,0,2,2,0,0
26,77,2021-01-01,65,65,134,134,1,1
26,84,2021-01-01,2,2,2,2,0,0
26,91,2021-01-01,9,9,14,14,0,0
26,98,2021-01-01,2,2,2,2,0,0
26,105,2021-01-01,0,0,0,0,0,0
30,0,2021-01-01,0,0,1,1,0,0
30,8,2021-01-01,33,33,53,53,0,0
30,15,2021-01-01,93,93,138,138,0,0
30,21,2021-01-01,4,4,13,13,0,0
30,28,2021-01-01,32,32,49,49,0,0
30,35,2021-01-01,2,2,4,4,0,0
30,42,2021-01-01,4,4,7,7,0,0
30,49,2021-01-01,6,6,17,17,0,0
30,56,2021-01-01,74,74,106,106,0,0
30,63,2021-01-01,6,6,14,14,0,0
30,70,2021-01-01,14,14,23,23,0,0
30,77,2021-01-01,8,8,17,17,0,0
30,84,2021-01-01,61,61,170,170,0,0
30,88,2021-01-01,2,2,5,5,0,0
30,91,2021-01-01,8,8,9,9,0,0
30,98,2021-01-01,30,30,49,49,0,0
30,105,2021-01-01,7,7,17,17,0,0
30,113,2021-01-01,5,5,14,14,0,0
34,0,2021-01-01,0,0,0,0,0,0
34,7,2021-01-01,0,0,0,0,0,0
34,14,2021-01-01,1,1,6,6,0,0
34,21,2021-01-01,0,0,0,0,0,0
34,28,2021-01-01,0,0,0,0,0,0
34,35,2021-01-01,0,0,1,1,0,0
34,42,2021-01-01,0,0,0,0,0,0
34,49,2021-01-01,0,0,3,3,0,0
34,56,2021-01-01,0,0,1,1,0,0
34,63,2021-01-01,0,0,0,0,0,0
38,0,2021-01-01,0,0,0,0,0,0
38,7,2021-01-01,1,1,1,1,0,0
38,14,2021-01-01,0,0,15,15,0,0
38,21,2021-01-01,2,2,14,14,0,0
38,28,2021-01-01,0,0,1,1,0,0
38,35,2021-01-01,0,0,4,4,0,0
38,42,2021-01-01,0,0,0,0,0,0
38,49,2021-01-01,0,0,0,0,0,0
38,56,2021-01-01,0,0,0,0,0,0
38,63,2021-01-01,0,0,7,7,0,0
38,70,2021-01-01,0,0,0,0,0,0
38,77,2021-01-01,0,0,0,0,0,0
38,84,2021-01-01,0,0,0,0,0,0
38,94,2021-01-01,0,0,1,1,0,0
38,98,2021-01-01,0,0,0,0,0,0
38,105,2021-01-01,0,0,0,0,0,0
38,112,2021-01-01,0,0,0,0,0,0
42,0,2021-01-01,0,0,0,0,0,0
42,7,2021-01-01,6,6,16,16,0,0
42,14,2021-01-01,0,0,1,1,0,0
42,21,2021-01-01,86,86,194,194,0,0
42,28,2021-01-01,3,3,5,5,0,0
42,35,2021-01-01,9,9,16,16,0,0
42,42,2021-01-01,1,1,5,5,0,0
42,49,2021-01-01,2,2,3,3,0,0
42,56,2021-01-01,0,0,4,4,0,0
42,63,2021-01-01,3,3,5,5,0,0
42,70,2021-01-01,1,1,6,6,0,0
42,77,2021-01-01,4,4,8,8,0,0
42,84,2021-01-01,0,0,0,0,0,0
42,91,2021-01-01,1,1,1,1,0,0
42,98,2021-01-01,1,1,4,4,0,0
42,105,2021-01-01,24,24,103,103,0,0
42,112,2021-01-01,25,25,31,31,0,0
42,119,2021-01-01,6,6,17,17,0,0
42,126,2021-01-01,7,7,16,16,0,0
42,133,2021-01-01,6,6,30,30,0,0
42,140,2021-01-01,6,6,19,19,0,0
42,147,2021-01-01,3,3,5,5,0,0
42,154,2021-01-01,21,21,37,37,0,0
46,0,2021-01-01,0,0,0,0,0,0
46,7,2021-01-01,0,0,1,1,0,0
46,14,2021-01-01,9,9,81,81,0,0
46,21,2021-01-01,0,0,1,1,0,0
46,28,2021-01-01,0,0,0,0,0,0
46,35,2021-01-01,0,0,2,2,0,0
46,42,2021-01-01,0,0,8,8,0,0
46,49,2021-01-01,0,0,2,2,0,0
46,56,2021-01-01,0,0,0,0,0,0
46,63,2021-01-01,0,0,0,0,0,0
46,70,2021-01-01,0,0,0,0,0,0
46,77,2021-01-01,0,0,1,1,0,0
46,84,2021-01-01,0,0,1,1,0,0
46,91,2021-01-01,0,0,0,0,0,0
46,98,2021-01-01,0,0,0,0,0,0
46,105,2021-01-01,0,0,0,0,0,0
46,112,2021-01-01,0,0,2,2,0,0
46,119,2021-01-01,0,0,0,0,0,0
46,126,2021-01-01,0,0,0,0,0,0
50,0,2021-01-01,1,1,5,5,0,0
50,7,2021-01-01,7,7,33,33,0,0
50,14,2021-01-01,4,4,7,7,0,0
50,21,2021-01-01,7,7,46,46,0,0
50,28,2021-01-01,6,6,49,49,0,0
50,35,2021-01-01,0,0,13,13,0,0
50,42,2021-01-01,2,2,5,5,0,0
50,49,2021-01-01,7,7,31,31,0,0
50,56,2021-01-01,1,1,3,3,0,0
50,63,2021-01-01,10,10,33,33,0,0
50,70,2021-01-01,3,3,25,25,0,0
50,77,2021-01-01,0,0,1,1,0,0
50,84,2021-01-01,1,1,2,2,0,0
50,91,2021-01-01,0,0,0,0,0,0
50,98,2021-01-01,8,8,41,41,0,0
50,105,2021-01-01,30,30,107,107,0,0
50,112,2021-01-01,1,1,4,4,0,0
50,119,2021-01-01,6,6,7,7,0,0
50,126,2021-01-01,0,0,0,0,0,0
54,0,2021-01-01,0,0,1,1,0,0
54,7,2021-01-01,4,4,6,6,0,0
54,14,2021-01-01,0,0,2,2,0,0
54,21,2021-01-01,0,0,5,5,0,0
54,28,2021-01-01,21,21,61,61,0,0
54,35,2021-01-01,1,1,1,1,0,0
54,42,2021-01-01,1,1,7,7,0,0
54,49,2021-01-01,0,0,5,5,0,0
54,56,2021-01-01,0,0,2,2,0,0
54,63,2021-01-01,1,1,13,13,0,0
54,70,2021-01-01,9,9,9,9,0,0
54,77,2021-01-01,0,0,2,2,0,0
54,84,2021-01-01,0,0,1,1,0,0
54,91,2021-01-01,3,3,8,8,0,0
54,98,2021-01-01,1,1,4,4,0,0
54,105,2021-01-01,0,0,1,1,0,0
54,112,2021-01-01,0,0,1,1,0,0
54,119,2021-01-01,0,0,0,0,0,0
58,0,2021-01-01,0,0,0,0,0,0
58,7,2021-01-01,12,12,14,14,0,0
58,14,2021-01-01,3,3,7,7,0,0
58,21,2021-01-01,0,0,0,0,0,0
58,28,2021-01-01,6,6,9,9,0,0
58,35,2021-01-01,175,175,322,322,0,0
58,42,2021-01-01,8,8,10,10,0,0
58,49,2021-01-01,21,21,35,35,0,0
58,56,2021-01-01,61,61,103,103,0,0
58,63,2021-01-01,12,12,17,17,0,0
58,70,2021-01-01,21,21,38,38,0,0
58,77,2021-01-01,2,2,3,3,0,0
58,84,2021-01-01,17,17,20,20,0,0
58,91,2021-01-01,32,32,49,49,0,0
58,98,2021-01-01,3,3,4,4,0,0
58,105,2021-01-01,6,6,7,7,0,0
58,112,2021-01-01,35,35,53,53,0,0
62,0,2021-01-01,0,0,0,0,0,0
62,7,2021-01-01,28,28,39,39,0,0
62,14,2021-01-01,25,25,35,35,0,0
62,21,2021-01-01,93,93,134,134,0,0
62,28,2021-01-01,0,0,3,3,0,0
62,35,2021-01-01,0,0,0,0,0,0
62,42,2021-01-01,69,69,140,140,0,0
62,49,2021-01-01,2,2,4,4,0,0
62,56,2021-01-01,0,0,0,0,0,0
62,63,2021-01-01,7,7,9,9,0,0
62,70,2021-01-01,0,0,0,0,0,0
62,77,2021-01-01,29,29,45,45,0,0
62,84,2021-01-01,3,3,5,5,0,0
62,91,2021-01-01,7,7,13,13,0,0
66,0,2021-01-01,0,0,0,0,0,0
66,7,2021-01-01,1,1,2,2,0,0
66,14,2021-01-01,0,0,0,0,0,0
66,21,2021-01-01,11,11,26,26,0,0
66,28,2021-01-01,7,7,42,42,0,0
66,35,2021-01-01,0,0,8,8,0,0
66,42,2021-01-01,0,0,2,2,0,0
66,49,2021-01-01,0,0,2,2,0,0
66,56,2021-01-01,5,5,13,13,0,0
66,63,2021-01-01,0,0,0,0,0,0
66,70,2021-01-01,0,0,0,0,0,0
66,77,2021-01-01,0,0,1,1,0,0
66,84,2021-01-01,0,0,0,0,0,0
66,91,2021-01-01,0,0,0,0,0,0
66,98,2021-01-01,0,0,3,3,0,0
66,105,2021-01-01,0,0,0,0,0,0
66,112,2021-01-01,2,2,4,4,0,0
66,119,2021-01-01,0,0,3,3,0,0
66,126,2021-01-01,6,6,8,8,0,0
66,133,2021-01-01,0,0,0,0,0,0
66,140,2021-01-01,0,0,1,1,0,0
66,147,2021-01-01,1,1,2,2,0,0
66,154,2021-01-01,0,0,2,2,0,0
66,161,2021-01-01,0,0,0,0,0,0
70,0,2021-01-01,0,0,1,1,0,0
70,7,2021-01-01,2,2,5,5,0,0
70,14,2021-01-01,1,1,2,2,0,0
70,21,2021-01-01,2,2,5,5,0,0
70,28,2021-01-01,12,12,53,53,0,0
70,35,2021-01-01,0,0,2,2,0,0
70,42,2021-01-01,4,4,22,22,0,0
70,49,2021-01-01,0,0,0,0,0,0
70,56,2021-01-01,1,1,2,2,0,0
70,63,2021-01-01,0,0,1,1,0,0
70,70,2021-01-01,1,1,4,4,0,0
70,77,2021-01-01,2,2,13,13,0,0
70,84,2021-01-01,8,8,33,33,0,0
70,91,2021-01-01,0,0,1,1,0,0
70,98,2021-01-01,5,5,16,16,0,0
70,105,2021-01-01,0,0,2,2,0,0
70,112,2021-01-01,0,0,0,0,0,0
70,119,2021-01-01,0,0,0,0,0,0
70,126,2021-01-01,0,0,1,1,0,0
70,133,2021-01-01,0,0,0,0,0,0
74,0,2021-01-01,0,0,0,0,0,0
74,7,2021-01-01,0,0,1,1,0,0
74,14,2021-01-01,0,0,0,0,0,0
74,21,2021-01-01,0,0,0,0,0,0
74,28,2021-01-01,0,0,0,0,0,0
74,35,2021-01-01,4,4,7,7,0,0
74,42,2021-01-01,0,0,1,1,0,0
74,49,2021-01-01,0,0,3,3,0,0
74,56,2021-01-01,14,14,36,36,1,1
74,63,2021-01-01,0,0,0,0,0,0
78,0,2021-01-01,0,0,0,0,0,0
78,7,2021-01-01,0,0,1,1,0,0
78,14,2021-01-01,83,83,154,154,0,0
78,21,2021-01-01,106,106,245,245,0,0
78,28,2021-01-01,25,25,50,50,0,0
78,35,2021-01-01,19,19,44,44,0,0
78,42,2021-01-01,10,10,16,16,0,0
78,49,2021-01-01,1,1,1,1,0,0
82,0,2021-01-01,0,0,0,0,0,0
82,7,2021-01-01,4,4,11,11,0,0
82,14,2021-01-01,6,6,18,18,0,0
82,21,2021-01-01,31,31,57,57,0,0
82,28,2021-01-01,19,19,50,50,0,0
82,35,2021-01-01,1,1,7,7,0,0
82,42,2021-01-01,17,17,52,52,0,0
82,49,2021-01-01,45,45,81,81,0,0
82,56,2021-01-01,15,15,26,26,0,0
82,63,2021-01-01,223,223,369,369,0,0
82,70,2021-01-01,48,48,83,83,0,0
82,77,2021-01-01,44,44,73,73,1,1
82,84,2021-01-01,356,356,510,510,2,2
82,91,2021-01-01,38,38,60,60,0,0
82,98,2021-01-01,0,0,2,2,0,0
82,105,2021-01-01,32,32,43,43,0,0
82,112,2021-01-01,22,22,33,33,0,0
82,119,2021-01-01,36,36,54,54,0,0
82,126,2021-01-01,19,19,25,25,0,0
82,133,2021-01-01,19,19,20,20,0,0
86,0,2021-01-01,0,0,1,1,0,0
86,7,2021-01-01,0,0,0,0,0,0
86,14,2021-01-01,0,0,1,1,0,0
86,21,2021-01-01,0,0,0,0,0,0
86,28,2021-01-01,0,0,1,1,0,0
86,35,2021-01-01,17,17,44,44,0,0
86,42,2021-01-01,4,4,6,6,0,0
86,49,2021-01-01,74,74,221,221,0,0
86,56,2021-01-01,3,3,6,6,0,0
86,63,2021-01-01,4,4,55,55,0,0
86,70,2021-01-01,2,2,3,3,0,0
86,77,2021-01-01,2,2,6,6,0,0
86,84,2021-01-01,0,0,0,0,0,0
86,91,2021-01-01,1,1,1,1,0,0
86,98,2021-01-01,0,0,4,4,0,0
86,105,2021-01-01,1,1,4,4,0,0
86,112,2021-01-01,0,0,0,0,0,0
86,119,2021-01-01,10,10,10,10,0,0
86,126,2021-01-01,2,2,11,11,0,0
86,133,2021-01-01,1,1,2,2,0,0
86,140,2021-01-01,0,0,1,1,0,0
86,147,2021-01-01,2,2,6,6,0,0
86,154,2021-01-01,0,0,0,0,0,0
86,161,2021-01-01,2,2,5,5,0,0
86,168,2021-01-01,0,0,0,0,0,0
86,175,2021-01-01,0,0,1,1,0,0
86,182,2021-01-01,0,0,0,0,0,0
86,189,2021-01-01,0,0,1,1,0,0
90,0,2021-01-01,0,0,0,0,0,0
90,7,2021-01-01,0,0,3,3,0,0
90,14,2021-01-01,8,8,26,26,0,0
90,21,2021-01-01,0,0,5,5,0,0
90,28,2021-01-01,0,0,0,0,0,0
90,35,2021-01-01,0,0,3,3,0,0
90,42,2021-01-01,0,0,1,1,0,0
90,49,2021-01-01,0,0,0,0,0,0
90,56,2021-01-01,3,3,4,4,0,0
90,63,2021-01-01,2,2,6,6,0,0
90,70,2021-01-01,9,9,15,15,0,0
90,77,2021-01-01,0,0,4,4,0,0
90,84,2021-01-01,23,23,103,103,1,1
90,91,2021-01-01,0,0,3,3,0,0
90,98,2021-01-01,8,8,14,14,0,0
90,105,2021-01-01,1,1,10,10,0,0
90,112,2021-01-01,1,1,3,3,0,0
90,119,2021-01-01,8,8,29,29,0,0
94,0,2021-01-01,1,1,3,3,0,0
94,7,2021-01-01,33,33,39,39,0,0
94,14,2021-01-01,102,102,148,148,0,0
2,0,2021-01-02,414,770,3013,5606,0,0
2,1,2021-01-02,35,61,131,229,0,0
2,2,2021-01-02,43,72,186,345,0,0
2,3,2021-01-02,39,73,166,303,0,1
2,4,2021-01-02,44,84,138,295,0,0
2,5,2021-01-02,40,82,170,384,0,0
2,6,2021-01-02,41,73,205,364,0,0
2,7,2021-01-02,41,74,183,316,0,0
2,8,2021-01-02,24,39,79,140,0,0
2,9,2021-01-02,39,65,123,240,0,0
2,10,2021-01-02,45,83,138,269,0,0
2,11,2021-01-02,38,61,178,308,0,0
2,12,2021-01-02,34,58,212,409,0,0
2,13,2021-01-02,57,118,344,652,0,0
2,14,2021-01-02,48,95,293,534,0,0
2,15,2021-01-02,49,87,210,376,0,0
6,0,2021-01-02,6,13,26,52,0,0
6,7,2021-01-02,9,20,17,36,0,0
6,14,2021-01-02,2,3,5,7,0,0
6,21,2021-01-02,0,3,14,30,0,0
6,28,2021-01-02,124,250,373,685,1,2
6,35,2021-01-02,94,174,352,598,1,1
6,42,2021-01-02,11,30,20,48,0,0
6,49,2021-01-02,22,43,44,95,0,0
6,56,2021-01-02,62,120,136,267,0,0
6,63,2021-01-02,19,43,45,87,0,0
6,70,2021-01-02,2,6,9,18,0,0
6,77,2021-01-02,69,89,76,96,0,0
6,84,2021-01-02,4,6,8,14,0,0
6,91,2021-01-02,56,93,165,264,0,0
6,98,2021-01-02,16,35,48,86,0,0
6,105,2021-01-02,37,43,122,131,0,0
6,112,2021-01-02,9,10,36,46,0,0
6,119,2021-01-02,6,10,14,26,0,0
6,126,2021-01-02,15,52,43,123,0,0
6,134,2021-01-02,21,24,47,61,0,0
6,140,2021-01-02,10,13,12,16,0,0
6,147,2021-01-02,20,27,49,60,0,0
6,154,2021-01-02,2,2,6,8,0,0
6,161,2021-01-02,10,10,22,24,0,0
6,168,2021-01-02,0,0,7,7,0,0
6,175,2021-01-02,10,21,17,34,0,0
6,182,2021-01-02,12,30,25,55,0,0
6,189,2021-01-02,6,16,9,27,0,0
6,196,2021-01-02,1,2,11,13,0,0
6,203,2021-01-02,21,35,38,74,1,1
6,210,2021-01-02,37,66,74,146,0,0
6,217,2021-01-02,2,8,9,19,0,0
6,224,2021-01-02,17,33,74,132,0,0
6,231,2021-01-02,6,17,12,36,0,0
6,238,2021-01-02,6,10,13,24,0,0
6,245,2021-01-02,10,20,25,47,0,1
6,252,2021-01-02,53,137,142,335,0,0
